詞條	中文	音節	釋義	頁數	備註	轉寫者
Daûkirrap	一種鼻笛	Daû_kir_rap	a double flute on which people plat with their nostrils.			曉鈞_42-70
Daûtatsitlichen	小指	Daû_tat_sit_li_chen	the little finger.			曉鈞_42-70
Dûzino	風箏	Dû_zi_no	a flying kite: as taz-i.			曉鈞_42-70
Dazjo	〈劍、刀的〉刀面	Daz_jo	the blade of a sword or knife, to which the handle is fixed.			曉鈞_42-70
De	在某處；靠近某處	De	in, somewhere, there: de don, in the house: de Tackais, near Tackais: but the de is commonly joined to two other words, as lellum, and pana, of which the first means in, and the second there;  thus instead of the above, they say, de lellum don, pana de Tackais: de is not seldom found  after innai, and thus serves to point out a place; as innai de errenerren, from Favorlang; de means also near, paga barron de tabaipaû ja don. Nataroa, mini, de lellum, inni, is of the same meaning: sometimes i is used, as kakoren i barrien, for lellum.	58		曉鈞_42-70
Decho	他們	De_cho	they.			曉鈞_42-70
Deeg/Dillij	報應	Deeg/Dil_lij	any evil that we deserve, or have brought on ourselves; thus they say, jo a deeg, or dillij, it is well arranged, you have your deserts.		不確定是不是兩個同義字列在一起	曉鈞_42-70
Dema	疑問詞（誰；什麼；哪一個；哪裏）	De_ma	who, what, which, where.			曉鈞_42-70
Dema	哪裏	De_ma	indema, indea, inde, de, are all of one meaning, as pana dema, pana de, where are you going? N. B. Nûmma is sometimes used for dema, as mosse-numma, for mosse-dema.		不知道of one meaning是什麼meaning	曉鈞_42-70
Dipa	以免	Di_pa	lest.			曉鈞_42-70
Dich	一種疾病	Dich	a sickness. From Madich.			曉鈞_42-70
Dille	幼鳥	Dil_le	all sorts of yound birds, just hatched and not yet fledged.			曉鈞_42-70
Dimmo	往上拉〈如從井中取水〉	Dim_mo	zinemmo, dadimmo, g. doa, I: doon, zinoon, inodoon, to pull upwards, to hoist, as people draw water out of a well. Pado, transit. Dummono dale, to. draw up a pitcher: dale kadoon, means also to take a pot off the fire.			曉鈞_42-70
Dippi	鐵	Dip_pi	iron.			曉鈞_42-70
Doat	長滿蘆葦的叢林	Doat	a jungle full of reeds and rushes, such as grow on the banks of rivers and morasses.			曉鈞_42-70
Dogh	禮儀；傳統	Dogh	manner, custom: kadogh, constume, ceremonies: kadóg o assaban, kadog o anibaas, maibas madarrain.	59		曉鈞_42-70
Don	房子；大船	Don	a house, a great vessel.	60		曉鈞_42-70
Doogh	拍打；打擊	Doogh	to beat: ka doogh ja na öeno, my head beats; as tummok. Doogh has no tenses.	60	沒有給出明確的意思	曉鈞_42-70
Dorren	嘴唇	Dor_ren	the lips	60		曉鈞_42-70
Dummarau	折彎成半圓形	Dum_ma_rau	zinûmmaraû, tadûmmaraû, g. daraû-a, I. daraûn, zenaraû,inodaraun, to bend half round,  to make a semi-circle. Padaraû, transit. modaraû, semi-circular: neutr. daddaraû, a semi-circle.	60		曉鈞_42-70
Dummadach	爬	Dum_ma_dach	dsi, tad: dadacha; dadachen, &c. to climb. Padadach, transit.	60		曉鈞_42-70
Dûmmadach	使...成為圓	Dûm_ma_dach	to make into a circle; imp: daraûdaûn.	60		曉鈞_42-70
Dûmmaribodibo	像一個圓	Dûm_ma_ri_bo_di_bo	the same; imp. taribodiboa, modaaraûdaû, modaribodibo, like a circle; daddaraûdaû,  daddaribodibo, a circle.	60		曉鈞_42-70
Dûmmaries	上鎖	Dûm_ma_ries	zinummaries, tadummarries, g: darriesa, I: idarries, inidarris, inoidarries, darriessan, inidarries,  darriessan, to lock up, or fasten. Padarries, transit. chachap idarries, don darriessan: dandarries, a lock.	60		曉鈞_42-70
Dûmmarrogigodoggo	駝背走路；偷偷觀察某物	Dûm_mar_ro_gi_go_dog_go	zinummarrogigodoggo, tadûmmarogodoggo, g. darroggodoggo-a, to walk double, as old people or those who are deformed do, to spy out anything. Maibas kakkollen. pikkon sies:  daddarroggodoggo, nom. as ababad  pikkon, a hunch back.	60		曉鈞_42-70
Dûmmaû	做某事來替代、取代或承接另一個	Dûm_maû	to do anything in the place of another, or to succeed to one, dsi, tadum: imp. daua: nomen dau, instead of another. Maanaû, one who comes in the place of another to do or suffer anything for them.	61		曉鈞_42-70
Dûmmaûko	抬頭	Dûm_maû_ko	zinûmmaûko. tadúmmaûko, g. daûkóa, to lift up the head high, either because people can see with difficulty, as mitébabo baak, or that they do it, inomaso kummeriel, to pay the more attention.	61		曉鈞_42-70
Dummo-an	流汗	Dum_mo-an	zinûmmo-an, inodùmmoan, to sweat. Dûmmoan ja ina, I sweat. Dûmmo, sweat.	61		曉鈞_42-70
Dùmmaûkaûka	醉漢蹣跚而行	Dùm_maû_kaû_ka	zinûmmaûkàûka, tadûmmaûkaûka, g: daûkaûka-a, is said of drunkards who go staggering about the streets.	61		曉鈞_42-70
Dûmmeódeo	長的；飄逸的	Dûm_meó_deo	zinûmméódeo, tadûmmeódeo, long and trailing, as a long garment, a long tail, long hair, &c. Dûmeódeo, arriba, taa, the gown trails, the hair hangs long.	61		曉鈞_42-70
Dùmmeogh	刷；磨擦	Dùm_meogh	zinûmmeogh, tadûmmeogh, g: déogcha, I. deógchen, zineogh, inodeogchen, to brush, or rub off. Dûmmeógo o sesnab, to brush down with a brush: dûmmeog o rima. to rub down with the band.  Padeoch, transit. taddeoch, nomen. subst. Dûmmeogh o magcha, to rub the eyes: dûmmeogh o nok, to blow the nose.	62		曉鈞_42-70
Dúmbor	強行奪走、搶走	Dúm_bor	zinumbor, tadûmbor, doborra, doborren, zinobor, inodoborren, padabor, transit. to take away  against one's will: as maûpis, poas: ka sai dumbor na mochan ja mado, the dog has taken away my food; to constrain another to do any thing, either willingly or not; to hold fast, and not to left go: as madabdab, elli pittol o meacha, dombor o maùmali o meroos. Dûmbor o arribil, dûmbor o cho, to force any one, to take any thing away: nomen. subst. daddobor, daddobor o ballag, depriving another of his goods. Ma addobor, an oppressor, a tyrant.	62		曉鈞_42-70
Dummaat	接近；靠近	Dum_maat	zinummaat, tadûmmaat, g: daatta, to approach, to draw near. Passi. daatten, dsinaat, inodaatten, that which is approached. Padaat, to draw near; dûmmadaat, intend. taddaat, a drawing near; dûmmaat o assaban o sabba, dûmmaat ta deon.	62		曉鈞_42-70
Dummachal	（用鋤頭等）翻地	Dum_ma_chal	dsi: tad. dach-alla, dachûllen, zinach-al, ino-dach-allen, to turn over the over the ground with a spade or hoe. Padach-al, daddach-al, a digging up, also a hoe. Ma ataddach-al, a digger.	63		曉鈞_42-70
Dummaggo	（樹木、房屋、人）站不直	Dum_mag_go	zinummaggo, tadûmmaggo, imp. daggo-a, not to stand upright, to over hang; is generally said of men, houses, trees, &c. padaggo, transit. Dummaggo, o moddan asjoddon, the gable or wall hangs over. Tadaggo, nomen. subst.	63		曉鈞_42-70
Dummakkal	綁；繫	Dum_mak_kal	dsi, tad, see tûmmakkal, to bind. Daddakkal, a ribbon, a bandage.	63		曉鈞_42-70
Dummallap	用茅草蓋屋頂	Dum_mal_lap	dsi: tadum: dalappa, to thatch a house with grass. that is when a portion of the old thatch remains.	63		曉鈞_42-70
Dummalimogh	天空起霧、變得模糊	Dum_ma_li_mogh	h, zinûmmalimogh, tadûmmalimogh, is said of the sky, when it appears hazy as in a drizzling shower. Dûmmalimogh o busûm.	63		曉鈞_42-70
Dummalizi	跳舞	Dum_ma_li_zi	zi, tad, dalizia, dalizian, zinalizau, inodalizian, to dance. Padalizi, transit. daddalizi, a dance.  Maadaddalizi, a dancer.	63		曉鈞_42-70
Dummap	追上；趕上；超越	Dum_map	zinûmmap, tadûmmàp, dappa, dappen, zinap, inodappen, as chûmmachil.	64		曉鈞_42-70
Dummarraab	裝〈衣服〉內襯；縫補內襯；偷情	Dum_mar_raab	zinùmmarrab, tadûmmarrab, g: darrabba, I: darraban, zinarraban, ino darranban, to line, or to fix the lining in a garment. Also to put one garment over another. Also to live in aultery. Padarrab, transit.	64		曉鈞_42-70
Dummarradarrab	內襯〈複數〉	Dum_mar_ra_dar_rab	the plural of the preceding. Padarrab, transitiv. Hence dardarab, lining.	64		曉鈞_42-70
Dûmmapal	撞到某物	Dûm_ma_pal	zinummalpal, tadûmmapal, g. dapûlla, I. dapallan: dapallan baron, baro asiel, rima oenoete idapal, idapal, inidapal, inoidapal, zinapallan, inodapallan, to run against any thing, as kadoog; padapal, transit. daddapal, apush, a clash: daddapal o asiel.	64		曉鈞_42-70
Dûmmarram	（在學習的過程中）實作	Dûm_mar_ram	zinúmmarram, tadûmmarram, g: darrama, to practice one's self in any thing, is used both for teacher and learner. Passi. darramen, dsimarran, inodarranmmen, dummarran, tûmmoch o bido,  to practice one's self in reading; is verbum act: dûmmarram o sisjien o tûmmoch o bido, the children exercise themselves in reading. Madarram, as maba. Padarram, dûminarram, acho maba. Dûmmarram meach ta Deos, to practice one's self, or to learn to pray. Daddaram, nom. exercise. Daram, to exercise one's self, nom. exercise. Taddaram, one who is practised. Daddarran o aiacha,a meeting for prayer.  Ma adaddarram, one who exercises himself or another.	64		曉鈞_42-70
Dûmmaraggadaggal	跌倒	Dûm_ma_rag_ga_dag_gal	zìnûmmaraggadaggal, tadûmmaraggadaggal, darraggadaggalla, to stumble.	65		曉鈞_42-70
Dûmmirdir	蹲下；坐下	Dûm_mir_dir	dsi, tad, imp. dasdissen, to sit, to squat down, as when men sit on their heels. Padasdis, transit. nom. daddasdis.	65		曉鈞_42-70
Dûmmittia	半途停下	Dûm_mit_tia	zinûminittin, tadûmmittin, g. dittina, to stop half way, not to go out.	65		曉鈞_42-70
Dûmmoas	（酒）不夠陳	Dûm_moas	dsi, tad, doassa, doassen, dsinoas, inodoassen, is said of liquor when it is too fresh, that people may make it more sour or more sweet. Padoas, transit. daddoas, dummoas machoch, put some more acid in it: daddoas. make it sweeter.	65		曉鈞_42-70
Dummobdob	叫醒某人	Dum_mob_dob	tsi, ta, dobdobba, dobdobben, dsinobdob, ma dobdobben, to wake up any one. Padobdob, transit. Sadobdob, nom. Ma addobdob, one who wakes up another.			曉鈞_42-70
Dummochol	用拳頭打胸口	Dum_mo_chol	zinûmmochol, tadûmmochol, docholla, dochollen, zinochol, ino dochollen, to strike with the fist on the breast. dadochol, nom.			曉鈞_42-70
Dûmmodos	開酒；放酒；取酒		dsi, tad, didossa, pass. dosdossen, &c. ja to, to tap, or let off liquor. Padodos, transit			曉鈞_42-70
Dûmmoelallis	（不使人受傷地）輕打別人	Dûm_moe_lal_lis	zinûmmoelallis, tadûmmoelallis, g: doelalissa, I: doelalissen, zinoelallis, inodoelallissen, to hit people  slightly, without hurting them.			曉鈞_42-70
Dummoragh	剝皮	Dum_mo_ragh	zi, ta, g: doragcha, I: to flay, chûmmorach, idem.			曉鈞_42-70
Dummorab	雨水透過窗戶或門打進屋子的樣子	Dum_mo_rab	zinummorab, tadûmmorab, dorrabben, zinorrab, inodorrabben, the beating in of rain into a house, through a door or window.			曉鈞_42-70
Dummorat	放鬆	Dum_mo_rat	zinûmmorat, tadûmmorat, g. doratta, I. doratten, zinorat, inodoratten, to relieve. Chûmmorat, idem. Padorat, transit. dadorat, nom.			曉鈞_42-70
Dummori	否認；拒絕	Dum_mo_ri	zinûmmori, tadûmmori, g: dorria, to deny, to speak against.			曉鈞_42-70
Dummoro	走入	Dum_mo_ro	(the last o sounded short) zinummoro, tadûmmoro, g: dorro, to go in. Contract, dorro, dsinorro, &c.  daddoro, nom.			曉鈞_42-70
Dummorsdos	拖著腳走路	Dum_mors_dos	dsi, tad, dosdossa, passi. dosdossen, &c.  ja ta, to trail one feet. Padosdos, transit.			曉鈞_42-70
Dumpûl	放火	Dum_pûl	zi, ta, dûppûlla, dûppûllen, dsinûmpûl. inodûppûllen, to set on fire. Paduppul, transit.	鞥‘		曉鈞_42-70
Dudûppûl	縱火罪	Du_dûp_pûl	nom. arson. Ma adûddûpûl, one who sets on fire..			曉鈞_42-70
Eeb	柴火	Eeb	fire wood.			曉鈞_42-70
E-è	草地、蜂蜜和水	E-è	mead, honey and water.		（奶與蜜之地？？	曉鈞_42-70
Eicham-an	用來喝東西的某物	Ei_cham-an	anything to drink out from. From micham, to drink.			曉鈞_42-70
Eichaman	煙斗	Ei_cha_man	chatto, a tabacco pipe.			曉鈞_42-70
Elli	用於否定（類似否定詞）	El_li	"to deny, as with us, no: but it is only used in connection with another word: as elli mabisse oaseis. your heart is not true. Elli pa, is so common that nothing can exceed it. and yet i do not know that is  the real meaning of it (then what about me?????). It seems to signify that some thing is not in  existence, as elli pa ja adda de assaban o amicien: or that some thing is not in one possession; as ellipa ja oa bido ina-ai, the first of which I cannot otherwise understand than that ""there is no rice in the village on the north:"" and the other ""I have not got your book."" See in alli."			曉鈞_42-70
Erab	唾沫	E_rab	spittle.			曉鈞_42-70
Eran	一種小豆子	E_ran	certain small beans.			曉鈞_42-70
Erien	臀部	E_rien	the hip.			曉鈞_42-70
Erotorûtto	蟾蜍	E_ro_to_rût_to	a toad.			曉鈞_42-70
Gaat	尖端	Gaat	a point. From Maggaat. Gûmmaat, gi: ga: gata: gatan: ginaat, to sharpen, to bring any thing to a point.  to carve. Ginaat, cut. Gagaat, a sharpening. Ma-agagaat, to sharpen. Ma-aggaat, a sharpener.			曉鈞_42-70
Gagoor	陰莖	Ga_goor	the penis.			曉鈞_42-70
Gemnea	打嗝	Gem_nea	gi, ga, gea, to belch, to eructate. Pagea, transit. nom: gagea, a belching.			曉鈞_42-70
Giacho	（用來清潔房屋的）藥草水	Gia_cho	water mixed with herbs, with which the women wash the houses.			曉鈞_42-70
Giroan	一半	Gi_roan	half.			曉鈞_42-70
Giech	形容某物被扯開的樣子	Giech	a word that is used when any thing tears.			曉鈞_42-70
Goeng	大盆子；缸	Goeng	a pipe, a vat.			曉鈞_42-70
Gomila	刮掉魚鰓	Go_mi_la	gi, ga, imp. gomila, pass. gomilan, &c. to blow out the gills. Pagomil, transit. gagomil, nom.			曉鈞_42-70
Gorrogot	鴿子	Gor_ro_got	a dove. Don o gorrogot, dove cot.			曉鈞_42-70
Gummabgab	割草；割小米	Gum_mab_gab	gi, ga, gabgabba, the cutting of paddy, or millet. Rûmmabies, idem. Pagabgab, transit.			曉鈞_42-70
Gummachhach	指以傾斜的方向挖去房屋附近的土	Gum_mach_hach	gi, ga, gachhacha, pass, gachhachen, &c. Pagachhach, transit. to hoe away the ground from a house in a sloping direction. Gagachhach, nom.			曉鈞_42-70
Gummigidsi	搔癢	Gum_mi_gid_si	gi, ga, gagidsia, to tickle. active. pagagiesi, transit. Gagidsi, a tickling. Maagagidsi, a tickler.			曉鈞_42-70
Gummaggri	同 gummagissi〈找不到相應詞〉	Gum_mag_gri	gi, ga, gagria, the same as gummagissi.		"在(pdf)371頁，本詞條gummagissi read ""gummagidsi""。"	曉鈞_42-70
Gumma-iech	忍受；承受	Gum_ma-iech	gi, ga, ga-iecha, pass. ga iechan , gina-iech, ino-ga-iechen, to bear, to endure: act. paga-iech, transit. gagariech, a lengthening, act. Ma-agagaiech, to lengthen, to delay.			曉鈞_42-70
Gummatach	切割（樹木、水果等）	Gum_ma_tach	gi, ga, gatacha, gatachen, ginatach, inogatachen, pagatach, transit. gatach, nom. to split up large pieces of wood; but when bamboos are spoken of, pilla is used. It is also used in the cutting up of pumpkins, melons, plantains, &c.			曉鈞_42-70
Gummeoch	用茅草蓋屋頂	Gum_meoch	gi, ga, geocha, to thatch house.			曉鈞_42-70
Gummesar	腸絞痛；麻煩事	Gum_me_sar	(let the (e) be scarcely heard) gi, ga, gesarra, gesarran, the same as gummiddiggit: gesar, just as if people said gsar, a gripe, a handfull.			曉鈞_42-70
Gummeach	築籬笆；防禦	Gum_meach	gi, ga, giacho, giachen, giniach, ino-giachen, to fence, or secure; people say also, giûchen ja sabba, as if the river were suddenly swollen and therefore a fence was made.  Pagiach, transit. nom. gigiach, a fence.			曉鈞_42-70
Gummiach	伸懶腰	Gum_miach	gi, ga, giacha, giachen, giniach, inogiachen, to stretch out the arms, as lazy people do; as paggeas, merely, to reach out the arm, leg, finger, &c. neutr. magiach.			曉鈞_42-70
Gummiddiggit	握拳；快速抓住物品	Gum_mid_dig_git	gi, ga, giddiggitta, giddiggitten, ginigddiggit, ino-giddiggitten, to close the hand. Also to grasp any thing fast. nom. gagiddiggit, a fist.			曉鈞_42-70
Gumnab	開始	Gum_nab	gi, ga, gnabba, gnabben, ginab, ino-gnabben, to begin. As ptat, and pto. Gagnab, nom. as paptat.			曉鈞_42-70
Gummo	小	Gum_mo	small.			曉鈞_42-70
Gûmmoch	綁在一起	Gûm_moch	gi, ga, gocha, gochen, ginoch, ino-goch, pagoch, transit. Gagoch, nom: to bind together.			曉鈞_42-70
Gummamgan	與 gûmmoch 義同	Gum.mam.gan	the same as gûmmoch	71		容榕_71-99
Gummomach	擦掉（寫的、畫的事物）	Gum.mo.mach	gi, ga, gomacha, gomachen,  ginummach, inogomachen,  to rub out any thing that is drawn or written. Pagomach, transit. gûgomach, nom.	71		容榕_71-99
Hoadsi	竹筒	Hoad.si	a bambo pole to carry with.	71		容榕_71-99
Hai	拒絕；限制	Hai	a denial, used only in forbidding,  as hai magiepe, make no noise.	71		容榕_71-99
Hema	泛指肥胖的人或野獸	He.ma	all kinds of fat man or beast; written Ema. Hemo tillij, a badger's fat; written Emotillij.	71		容榕_71-99
Herien	臀部	He.rien	the hip. See Erien.	71		容榕_71-99
Heua	去	Heua	go.	71		容榕_71-99
Ja	表示疑問的助詞	Ja	a particle denoting interrogation,  ja madûrram jonoe ta Deos o Baûsie, do you know the God of the Dutch?	71		容榕_71-99
Jenmanat	為什麼你要給我這個？	Jen.ma.nat	why do you give me that.	71		容榕_71-99
Jes	魚卵	Jes	the roe of fish.	71		容榕_71-99
Ibien	蛇	I.bien	a snake. *ibien ota, small red snake, makaka. ibien o aras, korrokorroan, a spotted snake. ibien abo, a large bellied snake, matoatsi. ibien baron or isaijs, a snake hard in the back, mattilo, maraas asieg ibien marali, a snake with large eyes, matoto macha. ibien e ribij, snakes that creep quietly along the ground, and remain in the granaries. *ibien o atei, a snake that blows its cheeks up: mato a ri. *ibien o boesûm korrokorron maûsi, snakes spotted with black and white. *ibien tagotago de abas, korrokorroan mekach maûsi, mali kach ja ki-or, snakes found in the sea. spotted green and white with broad tails.	71-72	(*Those marked thus are very poisonous) *ibien ota: 小紅蛇 ibien o aras: 斑紋蛇 ibien abo: 寛腹蛇 ibien baron or isaijs: 硬脊蛇 ibien marali: （可能是）眼鏡蛇 ibien e ribij: 蛇匍匐而入穀倉 *ibien o atei: 蛇鼓起口腔（？） *ibien o boesûm korrokorron maûsi: 黑白相間的蛇（雨傘節） *ibien tagotago de abas, korrokorroan mekach maûsi, mali kach ja ki-or: 海蛇（有綠白色斑紋、寬尾） (*打星號表示蛇很毒XD)	容榕_71-99
Ichien	鉤子	I.chien	a hook, like a parrot's bill.	72		容榕_71-99
Icho	他	I.cho	he	72		容榕_71-99
Idas	月亮；一個月	I.das	the moon, also a month.	72		容榕_71-99
Idod	貝殼，湯匙	I.dod	a shell, also a spoon; from midod, to lade out.	72		容榕_71-99
Idorrodorrûs	一種鼠類	I.dor.ro.dor.rûs	a fan, a species of mouse.	72		容榕_71-99
Iel-iel	桑葚	Iel.-iel	a mulberry. Baron o iel-iel, the mulberry tree.  Bo' o iel-iel, the fruit.	72	Baron o iel-iel 桑葚樹； Bo' o iel-iel 桑葚果	容榕_71-99
Iem-dan	灼熱的小疹子	Iem.-dan	a small fiery pimples.	72		容榕_71-99
Ikkil	恐懼	Ik.kil	fear; from mikkil, afraid.	72		容榕_71-99
Imigh-igh	啃咬；一點一點的吃	I.migh.-igh	inimigh-igh, amigh-igh, g: igh-igha: l: igh-ighen, migh-igh, inoigh-ighen, to gnaw, to nibble. Imighigh o ûso, to bite the nails.	72		容榕_71-99
Ima	你們；對眾神的吶喊	I.ma	ye.	72	網路字典查到的是這樣，但不確定是不是這樣翻	容榕_71-99
Imogh	藥草；野草	I.mogh	all kinds of herbs that spring out of the ground; weeds.	73		容榕_71-99
Ina	我；也可用在除去所有因素	Ina	I, mine, it serves also to put out every kind of cause, (except the immediate;) Ina o elli arioon, pattas o bido, ina papagcha jo, because yo do not write well, I will flog you	73		容榕_71-99
Ina-o	因此	Ina.-o	because, therefore; perhaps from innaû and innaû numma.	73		容榕_71-99
Inanumim	用於詢問原因	I.na.nu.mim	asks every kind of cause, except the immediate.  Inaûmmima jo pagcha ina, why do you strike me.	73		容榕_71-99
Indema	誰；什麼；在什麼地方	In.de.ma	who, what, in what place? indea, the same: also edea.	73		容榕_71-99
Indecho	似乎；在那裡	In.de.cho	seems to mean, therein.	73		容榕_71-99
Inikírrigh	（畫出的）線	In.i.kír.righ	a line drawn. From kummir rich, passivum praet.	73		容榕_71-99
Inaai	從某處	I.na.ai	from a place; as pana, to a place.	73		容榕_71-99
Innai dema	出於什麼原因；從何處	In.nai de.ma	whence, from what place. ka mai jana, innai takais; people also say innai dema jo mabaddai, whence know you that?	73		容榕_71-99
Inaínumma	出於什麼原因；從何處	In.aí.num.ma	as Innai dema.	73		容榕_71-99
Inni	在某處	In.ni	in a place: inni Taiwan, in Taiwan.  inni don, in the house.	73		容榕_71-99
Ino	預示即將發生的事	In.o	betokens the immediate cause. ino airien o arrar, in order to make a railing.	73		容榕_71-99
Inónumma	為什麼？（用於某事發生之後）	In.ó.num.ma	why, where for? this asks after the immediate cause.	74		容榕_71-99
Inochan	任何食物	In.o.chan	all kinds of food.	74		容榕_71-99
Inzini	這裡	In.zi.ni	here.	74		容榕_71-99
Ioa	你	Io.a	ye, you.	74		容榕_71-99
I-joium	雞	I.-jo.ium	a chicken; also  kuki-jirm.	74		容榕_71-99
Inab	心願	In.ab	the will. From merab.	74		容榕_71-99
Isa	模仿	I.sa	i, inisa, a-isa, imp. passi, isasan, inisa, inoisasan, to imitate. Paisasa, transit. isas, nom. a likeness.	74		容榕_71-99
Isabbesab	擊倒	I.sab.be.sab	inisabhesab, ino-isabbesab, struck down. lsabbesab ita, beat down to the ground; as millet or rice in the field.	74		容榕_71-99
Izjied	沙丘	Iz.jied	a sand hill	74		容榕_71-99
Kabei	蘆葦製的麻布袋；包包	Ka.bei	a sack made of bulrushes, a purse.	74		容榕_71-99
Kadzies	鼠	Kad.zies	a rat.	74		容榕_71-99
Kagil	非常肯定	Ka.gil	certain sure; written gagil.	74		容榕_71-99
Kagillacho	富裕	Ka.gil.la.cho	rich, affluent.	74		容榕_71-99
Kager	魚網	Ka.ger	a fisherman's net. From kúmmir.	74		容榕_71-99
Kaibil	燕子	Kai.bil	a swallow.	74		容榕_71-99
Kailau	為了；也許不是	Kai.lau	in order that, perhaps not, asdopa.	74		容榕_71-99
Kairi	左邊的	Kai.ri	the left. Ma kairi, verbum.  Kair‘i a rima, left hand. Kairi a tea, the left arm. Kairi o magcha, the left eye.	74		容榕_71-99
Kakûllomos	子宮	Ka.kûl.lo.mos	the womb.	74		容榕_71-99
Kakas	紅色	Ka.kas	red. Verb. Makakas.	74		容榕_71-99
Kakattas	剃刀	Ka.kat.tas	a razor. From Kummatos.	74		容榕_71-99
Kallamas	右邊的	Kal.la.mas	the right. Kallamas a rima, atea, o, macha, the right hand, arm, or eye. Verbum Makallamas.	74		容榕_71-99
Kale	鶺鴒；灶巢鳥	Ka.le	see dalli.	75		容榕_71-99
Kakirrigh	線；長條	Ka.ki.rrigh	a line, or long stripe; see chachirrich, in Ch.	75		容榕_71-99
Kallaman	巨大的鍋子	Kal.la.man	a great pot	75		容榕_71-99
Kamkam	貪婪	Kam.kam	covetousness; see Magamgam.	75		容榕_71-99
Kamossimos	田鼠	Ka.mos.si.mos	also  kamossi, a field rat.	75		容榕_71-99
Kamachaggi	確知	Ka.ma.cha.ggi	kaminachaggi, kamamachaggi, to know certainly. Kamachaggi o maba, idem.  Merien o chagchi, to do anything to purpose.	75		容榕_71-99
Kamas	公山羊	Ka.mas	a he goat.	75		容榕_71-99
Kummassies	做到最好的程度	Kum.ma.ssies	makes the superlative degree, as kûmmasies a mata, mario, the greatest, best.	75		容榕_71-99
Karrikìes	肌肉	Ka.rri.kìes	a muscle.	75		容榕_71-99
Kakosach	鑿子；鐫	Ka.ko.sach	a chizel. From kûmmabesach.	75		容榕_71-99
Kakossi	違反；違法	Ka.ko.ssi	disobedience, transgression. From kúmmogi.	75		容榕_71-99
Kar/ Karri	連接名詞詞組或動詞詞組中間的繫詞	Kar/ Ka.rri	compounded with nouns, signify the same as mau, when compounded with nouns or verbs.	75		容榕_71-99
Karri-ada, ki, ka	分享	Ka.rri.-a.da, ki, ka	karri-ada, to share: idem mausada.	75		容榕_71-99
Karri-apiech	打鬥	Ka.rri.-a.piech	kinarri-apiech, ka karrì-apiech, karrì-sapiecha, to fight with each other: id mau-apiech.	75		容榕_71-99
Karriatito, ki, ka,	對話	Ka.rri.a.ti.to, ki, ka,	karri-atita, to speak together or to converse. idem karrì-ala, and mau-ala, to tell each other.	75		容榕_71-99
Karrí-babisso	擲籤	Ka.rrí.-ba.bi.sso	to cast lots. In the change of tenses karri, is inflected and not babisso. Ki, ka karri, babissoa, dito maûbabisso.	76		容榕_71-99
Karrisasopat, ki, ka,	面向	Ka.rri.sa.so.pat, ki, ka,	karrisasopatta, to stand over against each other.	76		容榕_71-99
Karríchi	憤怒	Ka.rrí.chi	wrath, anger: from makarricho.	76		容榕_71-99
Karsasakimotto	橫向的；橫面	Kar.sa.sa.ki.mo.tto	see maûsasakimotto.	76		容榕_71-99
Kattach	一小片（段）的東西	Ka.ttach	a piece of anything.  Differs from bitil: and is said of fish or flesh. Kattach o arierfi, o bilpìl, o abì, o baaf, written gatach, see gûmmatach.	76		容榕_71-99
Kartattis	相互丟東西	Kar.ta.ttis	to throw before each other. Kinartattis hakartattis,im. karraìtìsa.	76		容榕_71-99
Karri-mau, ki, ka,	屬於彼此	Ka.rri.-mau, ki, ka,	kariau, aûnisa, belonging to each other.	76		容榕_71-99
Karr- tattuboel, kí, ka,	來往；拜訪	Ka.rr- ta.ttu.bo.el, kí, ka,	to pay visits backwards and forwards: id. mautattubboel.	76		容榕_71-99
Karriûan	共享食物	Ka.rri.ûan	karri auana, to eat together, to give food to each other.	77		容榕_71-99
Karri of mau,	與其他部落的居民訂定和平契約時，會扯下對方衣服上的一根草吃掉。 此舉為該族的習俗，為和平的象徵。	Ka.rri. of. mau,	aan a tammas, or harri or man, aan, o rarozì, is the manner of the natives. when they will make a treaty of peace with each other; they pluck a thread out of each other's clothes and eat it up; which is a sign of peace: this contract is made midway between their villages.	77		容榕_71-99
Kau-os,	鋤	Kau.-os,	a hoe.	77		容榕_71-99
Kaur	長柄大鐮刀	Kaur	a reap hook, or scythe. From Kûmmaûr.	77		容榕_71-99
Kiacho, ada	稻秆	Kia.cho, a.da	a branch of paddy stalk.	77		容榕_71-99
Kikach	刻痕	Ki.kach	a notch; see mokibach, notched.	77		容榕_71-99
Kílûl	蚯蚓	Kí.lûl	an earth warm	77		容榕_71-99
Kikíet	租賃	Ki.kíet	a rent. From makikiet.	77		容榕_71-99
Kier	尾巴	Kier	a tail.	77		容榕_71-99
Kis-in	精美的	Kis.-in	fine, adorned, as mauchus, malle.	77		容榕_71-99
Kis-taboe	黃雀	Kis.-ta.boe	as kole-akis.	77		容榕_71-99
Kittas	橋；梯子	Ki.ttas	a bridge, a ladder.	77		容榕_71-99
Klau	鼻笛	Klau	a flute, blown through the nose.	77		容榕_71-99
Ko	不可能（強烈否定用詞）	Ko	a word of strong denial, as no, by no means. Sometimes also Koa, Ko-ai.	77		容榕_71-99
Koezi	稀少；小	Koe.zi	few, small of itself; smaller than many is ma-jed. Written kotsi.	77		容榕_71-99
Koekoen o oog	杜鵑	Koe.koen o oog	a cuckoo	78		容榕_71-99
Kokko-an	聾；聽力不好	Ko.kko.-an	hard of hearing, deaf	78		容榕_71-99
