lemma,zh-def,ori-def,ori-page
Korrokorro-an,色彩斑斕的,very much variegated.,78
Korronot,某種小害蟲,certain small vermin,78
Kumbor,汲水,"kinumbor, kakumbor, g. koborra, I koborren. Kinebor, ino-koborren,
to draw water, to lade.",78
"Kúmmaarchûb, ki, ka",汙染空氣,"kaarchabba, to break wind: ka kaarchab,, foul wind.",78
"Kúmmabach, ki, ka",從底部綑綁,"ki, ka, k‚abacba, kabachen, kina bach, inokabachen, pakabach, trans. nom. ka kabach,
a sort of binding from under the bottom.",78
Kummaat,切；剪,"kinummaat, kakummaat, g. kaatta, l: kaattan, kinaattan, ino’kaattan, to clip, to cut.
written gûmmaat, Kummaat o chaar, to make a pen.",78
"Kûmmaber, ki, ko",一種綑綁的方式,"kablierra, kaberren, kinabber, ino-kabberren. Pakabber.
Also a kind of binding, as kûmmabach. 
Kakabber, nom. such kind of binding. Ma akakabber, a binder.",78
Kûmmados,攜,"kinûmmados, kakûmmados, g: kadossa, I: kadossen, kinados, inokadossen,
to take in the arms.",78
Kúmmaggimo,帶來困惑,"kinummaggimo, kakummaggimo, g: kooggimoa, kooggimoon. kinaggimo, ino-kooggimoon,
to bring to confusion. Written gûmaggimo.",78
"Kûmmaibach, ki, ka",放在投石器上,"kaihacha, kaibachen, kinaibach, ino-kaiûachen, to put in a sling.
Pakûibach, to do so. Kakaibach, a sling.",78
Kummaizizi,做事輕柔,"kinum maizizi, kakūmmaizizi, kaizizia, to do anything softly.",79
"Kummallabei, ki, ka,",從底部綑綁,"kallabeian, kinallabeian, ino-kallabeian; as kummabach.",79
Kûmmalossikos,發現,"kinûmmalossikos, kakummalossikos, kalossikossa, I: kalossikossen, 
kinalossikos, ino-kalossikossen, to uncover, to discover.",79
"Kûmmalossikot, ki, ka",捲曲,"kalossikotta, kalossikotten, kinalossikot, inokalossikotten, to curl, act. 
pakalossikot, trans.
kakalossikot, nom. a curling, a curl.",79
Kúmmai,背在背上,"kinämmai, kakūmmai. g. kaia,
I: kai-in, kinai, ino-kai-in, to carry on the back. Written gummai.",79
Kummallobos,把東西摺疊起來,"kinummallobos, kakūmmallobos, g: kallobossoa, 
I. kallobossen, kinallobos, inokaliobossen, to fold any thing up, as tobacco, money, &c. in paper.",79
Kunmammo,懶懶地將手叉在胸前,"kinum mammo, kakummammo, g: kammoa, I: ikanimo, inikammo, inoikammo, 
to fold the arms lazily.",79
"Kummapier, ki, ka",鉤住,"kapiera, pas, kapieren, kinapier, ino-kapieren, to hook on.
Pakapier, trans.kakapier, a hooking on.",79
Kummapos,停止,"kinummapos, kakūmmapos, g: kapossa, kapossan, & kinapos, kinapossan, 
inokap ossan, to stop up. Kammapos, o kallaman, to close a pot:
kûmmapos, o tarran, to stop up a road.
Kakopos, the stopping of an action.
Ma akakapos, to stop up.",80
Kummaram,將⋯⋯耙在一起,"kinûmmaram, kakummara,
g: karama, I: karaman, and kinarram,
kinarraman, inokarraman, to rake together.",80
Kummargar,"把房子固定在地上的柱子上；
船隻停泊","kinämmargar, kakömmargar, kargarra, kargûrran, kinargarran,inogargarran, 
when a house is in danger of being blown down by the wind to fasten it to a pole stuck in the ground. 
Also a vessel lying at anchor. 
Written gûmmargar, gagargar, nom. an anchoring, a cable. Gagargaran aijan, an anchorage. a roadstead.",80
Kûmmartuppo,潛水,"kinämmartúppo, kakūmmartúppo, g: kartúppoa, to dive underwater. 
Kakartúppo, a ducking. Maakartuppo, a diver.",80
Kûmmarummokûmmo,皺在一起,"kinummarummokummo, kakūmmarummokummo, g.
karummokummoa, I: karūmmokūmmoon, 
kinarummokummoon, ino-karummokammoon, to wrinkle together.",80
Kummarini,做成球狀，捲起來,"to roll. Kiilummarinikini, kinum marrinikini, kakūmmarrinikini,
g. karrinikinia, l: karrinikinien, kinarinikinien, inokarrinikinien,
to make round like a ball, to roll up, activ.
written gåmmarini.",81
"Kûmmasa, ki, ka",做夢,"impe. kasa, to dream.
Pakasa, transit. kasa, nom. a dream.
Minit o nûa kasa, I saw in my dream.",81
Kûmmaskas,刮、擦,"kinûmmaskas, kakûmmaskas, kaskassa, I: kaskassen, kinaskas,
imokaskassen, to scrape. l. gimmasgas, gagasgas.",81
Kûmmatos,搔鬍子,"kinummatos, kakūmmatos, g: katossa, I: katossan, kinatossan,
inokatossan, to scrape the beard.",81
Kûmmattir,用長繩綑綁成柵欄,"kinummattir, kakummattir, g: katirra, I: katirren, kinattir, inokattirren, 
to bind with a long cord, as a fence, and the roofs of houses are bound.",81
Kûmmatto,拉取；吸引,"kinummatto, kakummatte, g: kattoa, I: kattoon, kinatton, ino-kattoon, to draw, to pull to one's self.
Pakatto, transit. kakatto, nom: people say, kūmmatto no morabbies, the ebb begins to draw.",81
Kûmmaar,收割,"kinûmmaar, kakûmmaar, g: kaura, I: kańron, kinaar, inokańron, to reap, to mow. 
Kaur, nom. a scythe, a reap hook.",82
Kûmmelokkolo,跳躍,"kinum melokkolo, kakummelokkolo, g: kolokkoloa, I: kolokkoloan, kinolokkoloan, inokolokkoloan, 
to jump over any place.",82
Kûmmemûch,大衣袖子,"kûmga, kinumga, kinûmûch, &c. to close the sleeve of a coat.",82
Kûmmeries,把頭靠在一邊；決定目標,"kerisa, pass: kerises, kirieries, inokerises, to lay the head on one side, to take aim. 
Pakeries, transit. kakeries, nom.",82
Kûmmenis,分裂某物；撕開某物,"kinûmmenis, kakummenis, kinissa, kinissen, kininis, inokinissen,
to appropriate what was common by division, or to tear any thing in two. 
Written gåmmenees.",82
Kûmmeriel,仔細地聽,"kinûmmeriel, kakûmmeriel, g: kriella, I: kriellan, kiniriellan, ino-kriellan, to listen sharply. 
Kakriel, a listening. Ma-akakriel, a listener.",82
Kûmmeroa,一分為二,"kinûmmeroa, kakûmmeroa, g. keroa, or eroa, I: keroan, or eroan,
kineroa, or ineroa, ino-keroan, or inoercan, to divide in two; 
written gûmmeroa, gageroa, such division.
*The inflections come from peroa, see in P.",82
Kummi,向後看,"kinummi, kakûmmi, g: kia, l: kian, kinian, inokian, inikkan, to look behind.",83
Kummiagh,伸出,"kinûmmiagh, kakūmmiagh, g; kiagcha, I: kiagchen, kiniagch, ino
kiagchen, to stretch out. Kûmmiagh, o asjiel, to stretch out the legs: written gûmmiach; 
magiach, stretched out.",83
Kummibokibo,（因爭吵而）打擾他人,"kinûmmibokibo, kakûmmibokibo, g: kibokiboa,
I: kibokiboon, kinibokibo, ino-kibokiboon, 
to disturb, as by quarrelling. Pakiboki
bo, transit. kakibokibo, nom.",83
Kummikiet,撕碎某物,"kinummikiet, kakummikiet,
g. kiekiedda, I. kikiedden, kinikiet,
inokikiedden, to tear any thing in pieces. Pakikied, trans, kakikied, a rip.",83
Kummirigh,畫一條直線在紙或木片上,"kinûmmirigh, kakûmmirigh, g. kierga, 
I: kiergan, kimirgan,inokirgan, to draw a line on paper or wood, 
&c. Kakirmich, a line, a ruler.",83
"Kûmminkin, ki, ka",用小鈴鐺發出喀擦聲,"kinkinna, kinkinnen, kininken, inokinkinnen, 
to click as with small bells. 
Pakinkin, transi. kakinkin, a clinking.",83
Kummio,（像山羊、公牛般）用頭撞,"kinummio, kakimmio, ki-o-a,
kioon, kineo, inokioon, to but with the head, as goats, oxen, &c.",84
"Kummio, ki, ka",削尖,"kiolia, kiollen, kiniol, inokollen, to sharpen at the point;
act. pakiol, trans, kakiol. Ma-akakiel, to point.",84
Kummir,捕魚,"kinûmmir, kakûmmir, g: kirra, I: kirren, kinir, inokirren, 
to fish with a net called kagir, l: gummir, nom: gagir, a net, also fishing.",84
Kummirgir,清除；取消,"kinummirgir, kakûmmirgir, g: kirgirra, I; kirgirren, kinirgir, inokirgirren, 
to erase, to cancel. See gûmmirgir, nom, gagirgir, an erasion, a cancelling.",84
"Kunmirkir, ki, ka",用牙齒咬,"kirkira, kirkirren, kinirkir, inokikirrren, 
to gnash with the teeth; act, pakirkir, trans, kākirgir, a gnashing. Mla-akakirkir, to gnash.",84
Kummirragh,撕碎,"kinummirragh, kakummirragh, g; kirragcha, I:kirragch en, kirrirragch, inokirragchen, 
to tear to pieces.",84
"Kummirra, kirragh, ki, Ka",kūmmirragh找不到相應詞,"g; kirra, kirragcha, see kūmmirragh.",84
Kûmmissikissiel,緩慢；無論走路、吃、工作動作都很輕柔,"kintiminissikissiel kakûmmissikissiel, g: kissikissilla
slowly, to do anything quietly, whether walking, eating, working, &c.",84
"Kûmmissokisso, ka",（如動物尾巴）上下擺動,"kissokissoa, kissokosoon, inokissokissoon, to move up and down as the tail of an animal.
Mado kūmmissokisso, kior, kissokissot, nom. kakisso, 
is said of the rudder of a ship because it moves backwards and forwards: 
otherwise kakisso, and kakissokisso, the motion itself.",84
Kûmmitor,編織成蘆葦或竹子狀,"kinummitor, kakūmmitor, g: kittorra, I: kittorren, kinitor, inokitorren, 
to plait any thing as a reed, bamboo, &c.",85
"Kûmmitta, ki, ka",腳往後伸,"kitta, kittan, kinitta, inokittan, to stick the foot out behind.
Pakitta, trans. kakitta, a sticking out.",85
Kûmmittikit,握拳；快速抓住物品,written gummiddiggit.,85
Kûmmoagh,鬆綁；解開；敬重心靈，獲得勇氣,"kinummoagh, kakûmmoagh, g: koageha, l: koagchen, kinoagh, inokoagehen, 
to loose, to unbind, to put off, as clothes. It is also used respecting the mind, 
and means to draw in one's courage. 
Paka-ach, pi, pa, ipako-ach-a, &c. to loose. Kûmmoach obre, to unstring a bow.",85
Kûmmoesach,鑿,"to chizel, ki, ka, kakoesach, a chisel.",85
Kûmmoar,跳,"kinummoar, kakûmmoar, g: koarra, I: koarren, 
kino-ar, inoko-arren, to jump over. 
Kakoar, nom. a jump. Maakakoar, to jump.",85
Kúmmogn,囚禁,"kinummoen, kakummoen, g: koeaa, l: koenen, kinden, inokoen, 
to imprison, to bind. Kakoen, chains.
Ka koen-an, a prison.",85
Kûmmogh,繫,"(written gúmmoch) kinûmmoch, kakûmmogh, to bind, 
g: kogcha, I: kogchen, kinogh, inokogchen,
kummogh, o baan i barron, to tie the
horse to a tree, mom. gagoch, a binding.",86
Kûmmoghkoch,洗掉；淘汰,"kinûmmoghkoch, kakûmmoghkoch, g: koghkogeha, I: koghkogchen, 
kinoghkogh, ino-koghkogchen, to wash out.",86
Kûmmonogh,關閉,"kinûmmomogh, kakûmmomogh, g: kûmmogcha, I: kûmmogchen, 
kinummogh, inokūmmogchen;
this word is only aded to ranied, rima, and riba, signifying to shut up.",86
Kûmmokot,曲躺,"kinûmmokot, kakûmmokot, g: kokotta, to lie bent.",86
"Kûmmolot, ki, ka",憎恨,"imp. kolotta, passi. kolotten, kinolot, inokolotten, to loathe.
Pakolot, transi, kakolot, a loathing.",86
"Kummothot, ki, ka",鞠躬,"kotkotta, to bow, as lummogot.",86
Kummoliet,kummaibach找不到相應字,as kummaibach.,86
Kummonokummo,摩擦雙手,"kinummomokummo, kakummokûmmoa, kummokummoon,
kinummokûmmoon, inokummokummoon, to rub the hands one against the other.",86
"Kümmaluchkach, ki, ka",將動物剖成一半,"kalachkacha, kalachen, kinalachkach, inokalachkachen. Pakalachkach, transi, 
to cut an animal in two, lengthways; the same as simmarabsab.",87
Kummono,忍耐,"kintimmono, kakummono, g: konoa, kono-an, kinoloan, inokonoan, 
to bear, to endure. Kakoeno, patience, endurance. Ma-akakoeno,patient.",87
Kummoragh,意圖,"(written gûmmorach,) kinummoragh, kakûmmoragh, g: koragcha, l: koragehen, kinorach, 
intend. nom. gagorach, ma-agagorach, a flayer.",87
"Kummossi, ki, ka",違反,"kossia, kossian, kinossi, ino-kossen. Pakossi, transi. to disobey. 
act. kakossi, wickedness, disobedience. 
Ma-akakossi, a wicked fellow. 
Pakossi, pi, pa, pakossia, ipakossi-in, inipakossi, inopakossi, to disobey.",87
Kumpi,摺疊；捲；打包（放入箱子）,"kinûmpi, kakûmpi, g: kupia, I: kuppien, kinuppi, inokuppien, 
to fold up, to roll up, to pack together in a box.",87
"Kummumkum, ki, ka",用所有的手指抓住,"kāmkämma, to lay hold of with all the fingers at once.
Pakuˋmkuˋm, transit. kakûmkûm, nom.",87
"Kûmrar, ki, ka,",打開手掌,"karra, to open, to unfold the hands only: kûmrar o rimai.",88
Kúmpi,折或捲起來的東西；捆,"any thing folded or rolled up, a bundle. Küppio zikakas, a roll of silk, Kûppi o bazigh, a roll of deer skins.",88
"Kûmral, ki, ka",（植物）攀爬,to crawl: used only of plants and vegetables.,88
Kûmzijr,夾；撿；採,"kinſmzijr, kakûmzijr, g: kizijrra, I: kizirren, kienzijr, inokizijrren, to nip, to pinch, to pick, to pluck.
People say also, kumzijr o to-i, draw out a splinter. Kakezijr, a nip.",88
Lallab,鏟子,"a pan, a shovel. From Palablab.",88
Labo,富饒的,"added to ta, means fruitful; joined to baron, it means weak, unable to work. Malabo, the verb.",88
Lalla,搗碎的米,bruised rice.,88
Lallabach,韭蔥,a green leek.,88
Lallama,粥；稀飯,pap made from rice and water.,88
Lallaas,一種黃色的樹皮（用來作矛、編織、裝飾）,"a fine yellow kind of bark, which people use, and sometimes insert for ornament: as their spears are wound round with red rattan and this bark alternately; the natives also weave the same split very fine, here and there, in their own coats, for ornament.",88
Lallatach,木杖,"a wooden stand, for a light. From Lûmmatagh.",89
Lolian,正午,"and lalian azijhja, midday.",
Lallum,挖掘,"in, within. Molalitim, in, deep. Paolallum, transi. to make any thing deep, to dig deep.",
Lamo,露水,"the dew; verb. malamo, to bedew; bedewed, or damp.",
La-ob,穀倉（放工具、穀物）,"an out house, where people keep all kinds of implements, rice, &c.",
La-obbómas,倉庫（放魚、肉）,"an out house; where people keep fish or flesh. Compounded of la-ob, and momas.",
Lalka,雷,the lightning. From Lumka.,
Lalladan,墊子,a cushion.,
Lallokogh,梳子,a comb.,
Lalpi,睫毛,the eyelashes.,
Lemesoleso,一種傳統習俗，女人舞蹈結束後歡呼、喊叫。,"I: linenesoleso, lalenesoleso, lenesolesoa, to shout after the native manner, when the women have concluded a dance or song.",
Lido,意義；解釋,"meaning, interpretation, explanation, li, la, lidoa. Palido, transit. Lido, opinion, meaning.",
Libbe-adippi,錫,tin,
Limmichob,啜飲,"linimmichob, lalinimmichob, lichobba, lichobben, linichob, inoli. chobben, to sip.",
Limmabit,按壓,"li, la, labitta, labitten, linabit, inolabitten, to pinch between two; but to press underneath is summelit; it means also to press against another.",
Limmiod,扭；擰,"linimiod, lalimiod, liodda, liodden, liniod, inoliodden, to wring
once round, to give one turn.",
Limka,點亮；眨眼,"to lighten, to blink with the eyelids.",
Loan,馬；牛；水牛；奴隸（用於輕視或怒罵時）,"a horse, cow, buffalo, &c. also a servant, a slave. In this last sense the word is used in contempt or in anger.",
Lo,岸邊,"as roos, a shore.",
Lummala,招來邪惡；纏住,"to induce, to incite to evil. Also to haunt.
Palala, to tempt; lalala, a temptation, a ghost.",
Lúmmalak,恐嚇,to threaten by word or action.,
"Lummaliech, li, la,(接頭詞)",小病,"a little sick, in disposed.",
Lummapies,跪下,"to kneed, to press down",
Lûmmapilapies,lûmmapies找不到相應字,"linummapilapies, lalûmmapilapies, lapilapiessa, &c. the same
as lûmmapies, lallapilapies.",
Lûmmaslas,贖回,"to redeem any one from punishment, with money.",91
Lûmmatagh,樹立,to set on a stand.,91
Lûmmauk,求婚,"to court, in order to marriage.",91
Lummaulatāb,將火燃得很旺；（用火）煮東西,to make burn brighter or clearer. Also to cook or boil anything by a clear fire.,91
Lûmmias,（像眼睛般）打開,"to open, as the eyes.",91
Lûmmibach,在肚皮上畫,to draw in one's belly.,91
Lûmmido,否認,"to deny;
lallido, a denial.",91
Lûmmis,發怒,"to glow, also to look angry.",91
Lûmmitûllito,（樹、竹等）搖搖欲墜,"to totter, to wave; is only used concerning great things, as trees, bamboos",91
Lûmmióllio,追逐、獵捕,"to run after, to hunt.",92
Lûmmo,陪伴,to accompany.,92
Lûmmobo,偷竊,to steal.,92
Lûmmochod,丟出繩子,to give out rope.,92
Lûmnugot,發誓,"li, la, logotta, logotten, linogot, inologotten, to vow; as kûmmotkot.",92
Lummokugh,梳,"linûmmokogh, lalûmmokogh, lokogcha, lokogchen, linokogh,inolokogchem, to comb.",92
Lûmmolo,（鹿、山羊等）從四面八方聚集,"to drive together from all sides; is used of animals, as deer, goats",92
Lûmmoob,拋媚眼,to look wantonly.,92
Lûmmoog,碰觸；戲弄；虛度,"to touch, also to trifle, to pass away the time.",92
Lûmmoog,對過去受惠的事心存感恩地安排下一件事情,"li, la, loomma, passi. loommen, limoon, ino-loommen, seems to mean, to arrange any thing with the acknowledgement of a previous benefit; as làmmoon oatite, oramied. Lalloom, nom. Whenever any one will acknowledge that another has done a service for him, he presents something of what he has acquired to him who procured it for him; which people call Lûmmoon oatite.",93
Lammosagh,挖出；提起（過去的事情＿,"to dig any thing up that was buried, also to bring up old things long since done.",93
Lûmpi,閃爍,"to twinkle as the fixed stars, to blink.",93
Ma-a-addo,kannaddo找不到對應字,a disswader: kannaddo.,93
Ma-a ba,智者；先知,"a wise man. From maba. Maaijaab, a prophet. From Me-aab.",93
Ma-ababaas,信使,"a messenger, one who brings tidings.",94
Ma-abalizich,運輸機,a transporter.,94
Ma-abba,多產的（植物、動物、人）,"fruitful, used generally of plants, animals, or men.",94
Ma-ababodda,多產的（野獸）,fruitful; said of beasts.,94
Ma-acha,謀殺者,a murderer.,94
Ma-achab,小偷,a thief.,94
Ma-ado,廚師,"one who understands cooking, a cook.",94
Ma-achachad,受惠/受報應的人,a rewarder of good or evil.,94
Ma-achachuppir,固執；不遵守,"stubborn, disobedient.",94
Maag,醋,vinegar,94
Ma-aita,視力極好的人,a sharp sighted man.,94
Ma-aja,施予者,a giver,94
Ma-akakossi,叛亂者,a disobedient ring-leader of rebellion.,94
Ma-alabo,土地富饒的,"fruitful, said of the ground.",94
Ma-allal,仁慈的,"kind, benevolent. Dan minaallal mamallaal a-allalla, a-lalal-len,
ina-alallen, ino a-alallen. Al-al, bland.",94
Ma-alalloog,恐懼的,"frightened, appalled.",94
Ma-aat,測量師,a measurer.,94
Ma-allallobo,小偷,a theif,94
Ma-arab,喝醉的人,one who makes drunk.,94
Ma-aragh,受惠很多的人,one who receives or obtains much.,94
Ma-arien,女神職人員,a priestess,94
Ma-arra,無業遊民；生活清靜、不受打擾,"unemployed, one who has nothing to do. Also at peace, and undisturbed. g: a-arra.",95
Maa-rapies,壞人；罪人,"a sinner, a villain.",95
Ma-ararait,能配合伴奏唱得很好的人,one who can sing well in company.,95
Maaru,冷,cold; as masûmah.,95
Ma-arari,看守人,a watchman. From ûmi.,95
Ma-arrat,一群魚,"a sort of fish, like the cod.",95
Madrich,愛面子的；注重形象的,"activ. fond of distinction, shame-faced, to carry oneself modestly towards another whom men honour. Aärichag. Paarich, to honour any one; or to be ashamed before any one,
a-arich, honour, a sense of shame. Ma-aarich, one who honours another, or conducts himself modestly.",95
Maas,抓（一種用網捕魚、蝦的技巧）,"to catch, as chūmmaü: also a certain mode of fishing with a net, to catch shrimps, called audn.
Aas, a besom, but only such as are made of a certain plant called alsoaas; otherwise it is chachań.",95
Ma-asannan,嫉妒者,an envier.,95
Ma-asasarra,貪睡的人,"one who sleeps much,a sluggard.",95
Ma-asiklai,吹橫笛的人,"a fifer, one who plays well on a flute.",96
Maaspat,八,eight,96
Ma-assas,遊手好閒的人,a sluggard.,96
Magspaspat,八個八個,eight by eight.,96
Ma-asasiri,哭泣的人,a crier.,96
Ma-asasat,鐵匠,a smith.,96
Ma-asassis,跟屁蟲,a tailer.,96
Ma-dsoso,施予者,a giver,96
Ma-asselakko,徒勞無功的,"useless through indolence, worthless.",96
Ma-atattûppa,記憶力很好的人,one who has a good memory. From tumpa.,96
Ma-asassabach,有毒的,poisonous; fr. Sumbach.,96
Ma-atinnaam,先驅,a forerunner.,96
Ma-attallalattala,慰藉,a comforter,96
Maat,湍急的河流,"is used only of the swelling of rivers, not occasioned by the sea ortide: proût, mi, fut, ma; transi. paat; nomen ańt. Mabarrija ačt o sabba, the fresh of the river is very strong, or the stream is strong, Aataijan, the lower part of a river where the running out of the water makes the river greater and stronger.",96
Maat,木柴,"mi, ma, aata, is used for fire wood;
thus they say; maat-eeb, to cut fire wood: trans, paat. pi. pa. ipaata.",96
Ma-atattosik,騙子,"or ma-atattose, a liar.
From tummosik, from tûmmose.",97
Ma-otattaas,前任；祖先,a predecessor in any thing.,97
Ma-atite,傳教士,"one who speaks openly to the people, a preacher. Ma-atil, a minister.
From pattite, from patil,",97
Ma-ataúso,醫生,a Doctor. From Pataûso.,97
Ma-auba,懶散的人,one who is always drowsy: from moba.,97
Ma-at-ach,健忘的,forgetful: from poach.,97
Ma-adridda,拋棄了他的伴侶的男人或女人,"a man or woman, who deserts his or her partner: from moriedda.",97
Ma-aunat,縱火者,one who sets any thing on fire: from ponnadi or monad.,97
Maauso,鰥夫寡婦,a widow or widower:,97
Ma-aussi,（遊戲中）藏起某物,one who hides any thing in play.,97
Maba,理解,"minaba, mamaba, to know, to understand; ma bada saan, and zies, an understanding heart, g: maba, seems also to mean, to acknowledge. Maabam charsar ja ta Labba; I know Labba's voice. Pala, transi. Aba, knowledge, science. Ma-aba, a wise man. Intendit. mababa; nom. ababa; abako taposai, omniscient.",97
Ma-baas,在地上爬行,"minabaas, mamabaas, abasa, abasem, inabaas, ino-abasen, to creep. Pabaas, trans, to crawl: mabaas morab is very fine weather; malaas mariollo, when the beasts eat grass: when it is foul and rainy weather, and the beasts lie in the grass: nom. abaas, a creeping. Ma-abaas, a creeper.",98
Maabat,人或動物的步伐；正在接近的東西,"minababat, mamababat, ababadda, the gait of men and beasts. Also the moving onwards of any thing that moves locally. Pababat, transit. imp, ababadda, ipababadda. Ababad, a path, a way. Pass. ababadbad, iniden, inababad, inoababadden, ipabapababad, inoiapabad. Ababadden iata, the ground is trodden.",98
Mababosa,正在衰老的人,"an old man, one who is getting old.",98
Mabachas,使乾燥,"mi, ma, abachasa, to be dry; bachas, drought. Pabachas, to dry; activ. imp. ipabachasa, transi. passi. abachassen, activ. obachassen, inobachas, inoabachasen, ipabachas, inipabachas, inoipabachas; people say in short, mabas en palas. Ma-abachas, dryness, drought.",98
Mahach-ich,直的,"unbent. From pabach-ich, mi, ma, an unbending, a diversion. Ma-abachchich, one who diverts.",99
Mabadas,表達喜悅、滿足,"mi, ma, same as mamacho.",99
Mabaddabadda,凝視,"to look hard, to stare.",99
Mabad,頁眉,"mi, ma, abadda, abadden, inabaddan, inoabaddam, the running of the paper in writing. Mabad o barritok. 
Differs from momach. Pabad, trans. abad, a flowing.",99
Maballa,滲漏,"mi, ma, oballa, o ballaan, inoballa, ino-oballaan, to leak; differs from misosso; maballa, when the hole is large and it leaks much, and misosso, when the hole is smaller and it leaks a little. Patiballa, transi.",99
Mabarra,強壯,"to be strong; g; abarra, mi,ma, barra, strength. From Mabarra. Ma-abarra, a strengthener. Pabarra, trans. ipabarra, et activ. imp. abarra. Pass. ipabarra,inipabarra, inoipabarra, acti, abarran, inabarra, inoabarran.",99
Mabarras,突擊,"minabarras, mamabarras, abarrassa, abarrassen, inabaraas, inoabarrasen, to proceed against the enemy, in order to fall on him by surprise. Pabarras, ipabarrassa, imp. trms. nom. abarras, a going forth against the foe. Ma abaras, to go forth.",100
Mabarran. mi,有穿衣服的,"ma, abarranna, neutr. not naked; pabarran, act. et trans.",100
Mabarri,吹,"minabarri, mamabarri, abarria, to blow; pabarri, transi. abarria, ipabarria, imp. to blow. Pas. barrin, binarrin, ino-barrin, trans. ipabarri, inipabar-ri, inoipabarri. Barri, nomen. the wind.",100
Mabart,like maries,"mi, ma, like maries.",100
Mabasso,有香味的；好吃的,"scented; mi, ma, abassoa, also well tasted, neutr. is said of salmon. which smells or tastes well. Basso, nom. taste or smell. Pabasso, smelling good, to make tasty; imp. act. abassoa, trans. pabassoa, pas. bassoan, binassoan, inobassoan, pabasso, inipabasso, inoipûbasso.",
Machopûl,好吃,"（the o short） to taste well, activ. mi, ma, imp. achopulla, pass. achopullen, inochopul, inchopullen a taster, one who prepares the food.",100
Mabaûaas,a dangling in play after which they shout,"mi, ma, imp. abauasa, a dangling in play after which they shout.",101
Mabûzibat,正好；就算,"mi, ma, abazibadda, just, even; mapospos, contrarium, mi, ma, apospossa, papospos, transi. pospos, nom. Pabazibat, pi, pa, ipabazibadda, transi. act. abazibadda, nom. bazibad. Pass. act. bazibadden, binazibad, inobazibadden, trans. ipazibad, inipazibad.",101
Mabûg,擁抱；用雙手拿；拿在手上,"（the last a is scarcely heard,） minabagh, mamûbagh, abûgcha, abagchen, inabagh, inoabagchen, to embrace, to take in both arms, also to carry on the arms. Pa-bag, transit.",101
Mabido,是黑色的,"mi, ma, abidoa, to be black. Pabido, transi. and imp. ipabidoa, ipabido, inipabido, inoipabid, acti.abidoa, passi. abidoan, inabidoan, ino-abidoan.",101
Mabilla,劈開的,"mi, ma, abilloa, neutr. cloven. Pabilla, act. and trans. Billa, a cleft. Maabilla, cleft.",101
Mabillaag,使變大,"mi, ma, abillaga, pabillaag, to enlarge, nom. billaag, breadth. Maabillaag, trans. en acti. one who enlarges. imp. abillaga, pas. abillagen, inabillaag, inoabillagen, ipabillaga, ipabillaag, inipabillaag, inoipabillaag. Mabillabillaak, flat.",101
Mabinnas,健康的,"mi, ma, abinnassa, healthy. Pabinnas, trans. to heal. transi. et act. impr. abinnassa, ipabinnassa, pas. a binnassen, inabinnas, inoabinasa, i. pabinassa, ipabinnas, inipabinas, inopa-binnas. Binnas, health. Abinnas, a healing. Mabinnas, a restorer, a healer.",102
Mabinni,肥的；肉體的,"mi, ma, abinnia, fat, fleshy. Pabinni, to fatten, trans. et acti. imp. abinnia, abinni-in, inabinni, inobinni-in, ipabinnia, pas. ipabinni, inapabinni, ino-ipabinni. Binni, fatness, abinni, a fathom. Maabioni, a fattener.",102
Mabior,維持在後方,"mimabior, mamabior, abiorra, to remain behind without going forth. Pabior, trans. et act. imp. abiorra, ipa-biorra, pas. inabiorran, inoabiorran, ipabiorra. ipabior, inipabior, inaipabior. Bior, nom. is used as a preposition. Ma-abior, to remain behind.",102
Mabirbir,a composing of the mind in anger,"mi, ma, abirbirra, abirbirren, inabirbir, inoabirbirren, abirbirren, a composing of the mind in anger. Mabirbir itsies, to pacify. Pabirbir, ditto. Abirbir, nom. a composing, a pacifying, a pacifier.",102
Mabissas,準備好去任何地方或去做任何事,"minabissas, mamabissas, abisassa, to make one's self ready, to go any where or do any thing. Perhaps also ready. Pas. pabissas; trans. et act. abissassa, abissassan, inabissas inoabissassen, ipabissassan, pas. ipabissas, inipabissas, inoipabissas. Abissas. nom. preparing. Maabissas, a preparer.",102
Mabisse,品德高尚的,"mi, ma, abissa, upright in mind, virtuous. Pabissen, trans. et act. imp. abissea, abissei, inabisse, inoabissein, ipabissea, pas. ipabissi, inipabisse, inoipabissen. Ma-abisse, to make righteous. Babisse, righteousness.",103
Mabisse bi-sse,is only said of many,"as mabise; bisse, is only said of many. ja mabisse bisse tape ja tatakorroe, as straight as a line; intend. mabisse. Bisse bisse, intend. babisse, see pisse. Ma-abisse bisse, to make right, upright.",103
Mabo,可憐（某人）、原諒、運送,"minabo, mamobo, aboa, aboan, inaboan, ino-aboan, to pity, to forgive, to deliver. Pabo, pinabo, papabo, ipaboa, ipabo, inipabo, inoipabo, ditt?. Anything done out of compassion. abo, iniabo, ino jabo, Abo, nom??? forgiveness, abonno babossi. Bo, grace, mercy; bo no tsies. Ma abo, one who pities.",103
Mab-o,腐爛,"mi, ma, ab-oa, neutr. to rot: pas. rotten. Pab-o, trans. ab-o, a rotting.",104
Maboas,移除,"minaboas, mamaboas, aboasa, to remove. Paboas, trans. pass. aboasas, inaboasas, inoaboasas, ja, ta, i-aboas, ini-aboas, ino0iaboas ja ballag; nom. aboas, a removal. Ma-abaas, a remover.",104
