詞條,釋義,中文,頁數
Maborried,"mi, ma aborrieda, neutr. overturned; the root, porried.",顛倒的,104
Maborroch,"raised, bumpy, angular, not round. Maborroch a sies, maborrogh a torran, maborroch ja morra &c. Paborrogh. trans. et act. imp. aborrogga, ipaborrogga, pas. aborroggen, inaborrogh, inoaborroghen. ipaborroggen, inipaborrogh, ino ipaborroghen, Borroch, a bump.",凸起的、顛簸的、有角的、非圓滑的,104
Mabosso,"mi, ma, abosoa, neutr. to wear away, to change. Paboso, pi, pa, imp. abosoa, pass. abosoan, inobosoan, ipabosoa, inipaboso, inoipaboso, to wear off.",磨損、改變,105
Macha,"dead. Cho macha, a dead man; also, dried up. Macha da baron, dry wood. Macha da ta, dry land. Pacha, to kill, acti. imp. acha, achar, inûcha, ino achan, trans. ipacha, inipacha, inoipacha. The neutr. has no other noun than macha itself. It is also the verb macha, mi, ma, acha, to die. Acha, a death blow; nom. Ma-acha, a murderer.",死的,105
Mach-yato,to flow through.,流過,105
Mach-achio-a-oogh,as machio-a-oogh.,as machio-a-oogh,105
Machachod,an adulterer or adulteress. From chûmmod.,姦夫、淫婦、有外遇的人,105
Machab,"minachab, mamachab, achabba, achabban, inachabban, inoachabban, to do any thing secretly. Pachab, transi. Achab, theft. Ma achab. a thief.",祕密地進行某事,105
Machaddak,"near, not far, mi, ma, achaddikka: neutr. paehaddik, trans. et acti. nom. chaddik, is used as the preposition prope. Radix chûmmaddik. Maûbe a chaddik, to look near. Ma-achaddik ocho, a neighbour, one who is near.",附近的,105
Machallo,"mi, ma, achalloa, clear; machallo a to, clear water: machallo a boesûm, clear air: machallo a tattorrodauron, a clear mirror. Pachallo, trans. et activ. Gallo, nom. clearness. Machallochallo, intend. Ma-achallo, clearer. Pachallo, act. achalloa. pas. ipachalloa, trans. achalloon, inachalloon, inoachalloon, ipachallo, inipachallo, inoipachallo.",清澈的,106
Machal-pod,"the end, mi, ma, achal-pod-da, to come to the last, completed as machil. Achalta, or achalpodda dûmmoro tapos, come in together. Minachalt, or minachal-pod sohsa tapos, they are all gone in together. Pachalt, is acti. et. Pachalpod, trans. finished. Achalta, achalten, inachalt, inoachalten, imp. pas. Pachalta, ipachalt, inipachalt, inoipachalt.",盡頭,106
Machammochammo,"deep. Machammochammo-nochaûch, spoken of a well. Mina, mama, achammochammoa, any thing dark and dismal as in a well. Mamarorammo, is used also by the Takey people Chammochammo ai? morammo, nom.",深的,106
Machanagh,"mi, machanacha, nertr.? notched. See chûmmanach. Chanag, a notch in an arrow.",有凹口的,107
Machapor,"mi, ma, g: achaporra, of few words, not to speak much, to be sti? Pachabor, transi. et acti. Machapochapor, intend. Chapor, nom. silence. ? is chapachapor. Ma achapor, one which keeps silence: imp. ahaporra, ?, inachaporran, inoachaporra, ipachaporra, pas. ipachapor.",話少的,107
Machaogh,"pitted, rumpled, rough. Pachauch, trans. et acti. imp. achaûcha, achaûchen, inachaûch, ipachaûcha, pas. ipachauchen, inipachauch, inoachauchen, inoipachauch. Chaûch, a well. Ma achauch, a well digger.",有凹洞的、粗糙的,107
Maghappo,"glowing, metaphorically used of ardent spirits; because th? make the face to glow. Pagappo, glow. acti. trans. imp. apappoa, agpoan, inagappoan, inoagappoan, ino ipagappo.",發光的 (精神好的),107
Macharapo,"mi, ma, acharapoa, neutr. chûmmarappo.",,107
Macharrieb,"mi, ma, acharriebba, invisible, is used of wind, spirit, &c. Acharrieb, nom. Ma acharrieb, one who renders any thing invisible.",隱形的，用於風、神靈,108
Machatto,"mi, ma, achattoa, to smoke. Pachatto, acti. trans. imp. achattoa, achattoan, inachattoa, inoachattoan, ipachattoa, pas. ipachatto, inipachattoa, inoipachattoa. Chatto, nom.",抽煙,108
Mache,"mi, ma, imp. achea, pass. acheën, inache, inoacheën, to guess whether any thing is even or uneven.",猜測某事物是否平均,108
Machaûbon,"minacheaubon, mamachaeaûbon, pas. acheaubonnan, inacheaûbonnan, inoachaûbonnan. Acheaubonnan, to jest, to joke, to sit idle, to dally. Acheûabon, nom. dallying. Ma acheaubon, to trifle. Ta ja don acheaubonnan, the place where people play.",開玩笑、戲耍、空閒地坐著,108
Mach-do,"sweet: mi, ma, achedoa, (the e short) chedó, sweet. Ma achedo, a sweetener. Pachedo, transi.",甜的,108
Macheer,"ingenious, mi, ma, acheer. Pacheer, trans. et act. pi, pa, imp. achera, acheran, inacheran, inoacheran, ipachera, pas. ipacheer, inipacheer, inoipacheer. Cheer, wit.",靈敏的,108
Macheda,"intend. machedacheda; mi, ma. acheda, pas. achedaûn, & c. to change one's word or will. Pacheda, trans. Cheda, changeableness.",意圖,109
Machen,an elder brother or sister: eousin or nephew.,兄長、姊姊,109
Machia,"minachia, mamachia, achia, to repent, to change one's mind. Pachia, transit. to change any one. Achia, repentance. Ma achia, one who exhorts to repentance.",後悔,109
Machi-ag chi erab,"mi, ma to drivel: achi achi erab, or machi achi, mi, ma, achi a chia, this is also to leak; nom. achi a ch, and achi a chi erab, slaver. Ma achi achi, one who drivels. Pachia chi erab, and pachi a chi, transi. Ma chiagchi, composed from machiagchi, to leak, and erab, spittle. Machiagchi ohallaonan, the pot leaks. Achiagchi in, inachiagchi in, ina achisgchi in ja to, the water is leaked out.",胡說,109
Machiëgh,"minachiegh, mamachiegh, neutr. to roast; achiecha, to broil, trans. Pachiech, to boil, the root is chummiegh, see the nomina; activ. siet P.",烤,109
Machigilla,"mi, ma, achigilla, nearly like medadorri, Takeijs. Chiegh, a roasting. Ma achiegh, a roaster, as ma achachieg. Chieg, roast. Ma achieg, any thing roasted",非常熱的,109
Machimit,"mi, ma, achimta, spruce, neat, clean, avoiding filth. Pachimit, trans. et act. imp. achimta, achimten, inachimtin, inoachimtin, ipachimta,pass. ipaehimt, inipachimt, inoipachimt. Machimchimit, idem. Ma achimit, a clearer. Chimit, nom. subst. cleanliness, neatness; used also as an adverb.",整齊的、乾淨的,110
Machigh,"sour, mi, ma, achich-a. Pachich, trans. et act. imp. achichos, achich in, inachich in, ino achich in, ipachich a, pas. ipachich, inipachich, ino ipachich. Chich, sourish.",酸的,110
Machio-a-oagh,"minachio-a-oagh, mamachio-a-oagh, a returning.",回歸,110
Magcho,"mi, ma, mamagcho, ipagchoa, ipagcha. inipagcho, inoipagcho, to speak.",說,110
Machobot,"rumpled, rough; mi, ma, pachobot, transi. et acti. Machobochobo intend. Chobor, a ruffler. Ma achobor, one who makes ruffles. Imp. achobotta, pas. achobottan, inachobottan, inoachobottan, ipachobattu, pas. ipachobot, inipachobot, inipachobat.",混亂的、粗糙的,110
Machobbechab,"mi, ma, achobbechobba, neutr. i. chummobbechob, to be hasty. Chobbechob, act. et trans. Chobbechob, nom. hasty.",輕率的,111
Machomorraja,"mi, ma, achomorraja, frightened, confounded. Pachomorraja, trans. et act. Achomorraja, confusion,. Ma achomorraha, fright, imp. act. achomorraja, achimorraja, inachomorraian, tran. ipachomorraja, pas. ipachomorraja, inipachomorraia, inoachomorraia, ino ipachomorraia.",混淆的,111
Macho,"minacho, mamacho, achoa, achon, inachon, ino achon, to take elsewhere; but this word in construction with nouns takes (n,) as machon o bido.",拿去其它地方,111
Mahonsar,"everlasting. Pachonsar, trans. Machonsar, one who perpetuates. Acho, nom. ma acho, one who causes continuance.",永恆的、持久的,111
Machonchon,"mi, ma, achochonna, neutr. ploughed. See chûmmûchon, nom. chonchon, a ploughman.",ploughed,111
Machonagh,"mimachonagh, mamachonagh, achonagh=cha, to haunt. Pachonagh, trans. Achonagh, haunted. Ma achonagh, a haunter. Pachonagh, act. achonagcha, inachonagh, trans. ipachonagcha, pas. ipachonagh, inipachonagh, inoipacho-nagh.",出沒,111
Machoraap,"mi, ma, achorapa, neutr. the same as pedara. Pacheraap, trans. achoraap, nom. as aidarra. Pachoraap, act. trans. imp. achorapa, achrapen, inachoraap, ipachorapa, pas. ipachoraap, inipachoraap, ino achorap, ino-ipachorap.",the same as pedara,112
Machote,"minachote, manachote; acho-tea, averse to any thing that is unpleasant. Also to suffer punishment. The root is chûmmote, see also act. pachote, in p. punishment. Maachote, a sufferer. chote, suffereing.",對不愉快的事物產生反感、受到懲罰,112
Machotul,"mi, ma. achotulla, neutr. bent, not straight, physically and morally. Pachotul, act. et tran. pi, pa, imp. achotulla, ipachotulla, pas. ipachotul, &c. Chotul, a curve.",(物理上的、道德上的)彎曲的,112
Machûmmachûmma,"mi, ma, achúmmachûmma, indistinct, the opposite of marimasal. Chûmmachûmma, nom. Ma achûmmachûmma. Pachûmmachûmma, act. achûmmachûmma, achummachumman, inachummachumman, inoachummachumman, trans. ipachûmmachumma, pas. ipachummachûmma, &c.",難以辨識的,112
Mada,"minada, mamada, ada, adan, inadan, inoadan,  to divide. Pada, trans. Ada, a share. Ma ada, a sharer.",分割、區分,113
Madaap,"minadaap, mamadaap, adapa, dadpen, inadap, ino-adapen,  to make haste. Padaap, imp. ipadaba, trans. ada aba, acti. Pass. ada aben, inadaab, inoadaaben, padaab, inipadaab, inoipadaab, adaab, haste. Ma adaab, one who hastens another.",匆忙,113
Madaal,"mi, ma, ada-alla, neutr. dishonourable, shameless. Pa-da-al, act. et trans. da-al, nom.",無恥的,113
Madabbi,"to be satisfied, mi, ma, adabbia. Padabbi, trans. satisfied, dabbi, satiety. Ma adabbi, a satisfier. Adabbi, satisfying, act. Padabbi, act. adabbia, adabbin, trans. ipadabbia, pas. ipadabbi, inipadabbi, ino adabbien, inoipadabbi.",滿足的,113
Madaddo,"ininadaddo, mamadaddo; adaddoa, to refuse: pas. adadoan, inadadoan, adaddoan. Padad, daddo, a refusal. Ma adaddo, a refuser.",拒絕,113
Madallal,"g: mi, ma, adaldalla, gentle, as ma-allal. Padaldal, pa-al-al, trans. Daldal, mildness. Ma-adaldal, one who wishes to be kind. Padaldal, act. adaldalla, adaldallen, inadaldal, paal-al, trans. imp, ipadaldalla, pas. ipa-daldal, inipadaldal, inoadaldallen.",紳士的,113
Madallolees,"mi, ma, neutr. glistering, shinning, as if well scoured: but this only refers to any thing that has a white ground, and differs from raosan.Dallolees, nom. a shining, it is also the name of a tree, the bark of which shines like the European beech.",發亮的,114
Madarram,"minadarram, mamadarram, adarrama, darrammen, madarram, inodarrammen, trained; see the root dummarram, and there the neutr. daram, experience. Ma-adarran, one who is trained.",受過訓練的,114
Madas,"minadas, mamadas, adassa, adassen, inoadassen, to praise. Madadas, also padas, praise. Ma-adas, a praiser.",稱讚,114
Maddik,"minaddik, mamaddik, adikka, &c. to forbid. Paddik. Adik, a prohibition. Ma adik, a prohibiter.",阻止,114
Maddobor,"mi, ma g: addoborra, busy, encumbered, neutr. Padobor, trans. Ma-adobor, troubled. Adobor, trouble, act. dobbor, care. Padobor, act. adoborra, adoborren, inadobor, trans. imp. padoborra, pas. padobor, &c.",忙碌的,114
Madigh,"sick, mi, ma, adicha, nom. adject. Ma-adig, a sickness, one who makes sick, Adigh, a sickening. Dich, nom. sickness. Madeadig, intend. nom. Padich, act. adicha, adich, inadich, trans. ipadicha, pas. ipadich, inipadich, inoadichen, inoipadich, &c.",生病的,114
Mado,a dog.,一條狗,115
Madidden,"mi, ma, g: adiddena, firm, close, fast holding.Madidden o arrar, a strong railing. Adidden ja tataap-oe, hold it dast. Applied to the mind, firm undaunted. Dadden, firm. Pa-didden, trans. Ma adidden, one who makes fast: adidden, a fastening. Pa-didden, act. adiddena, &c. trans. padiddna, pas. ipadidden, &c.",牢固的、接近的,115
Madirdir,"minadirdir, mamadirdir, adirdirra, to tremble. Padirdir, act. et trans. dirdir, nom. a shaking",顫抖,115
Mado,"minado, mamado, adoa, adoan, inadoan, inoadoan,  to cook. Pado, trans. Ado, a cooking. Ma ado, a cook.",煮東西,115
Madobdob,"minadobdob, mamadobdob; dobdobba, dobdobben, zinobdob, inodobdobben, hurried and in difficulty. Padobdob, trans. See dûmmobdob, to hasten, neutr. nom. dobdob. Ma adobdob, one who hastens another.",匆忙,115
Madochallam,"minadochallam, mamadochallam, adochallama, the calming and clearing up of wind and weather; also of anger. Padochallam, act. et trans. imp. adochallam, adochallaman. ipadochallama, pas. ipadochallam, inadochellaman, inoadochalleman, inipadochallam, inoipadochallam. Adochallam. Ma adochallam, one who calms people.",(劇烈)天氣、氣火的緩和,115
Madodevbo-ibo,"Madodevbo-ibo, faint, weak; mi, ma, adodeibo-iboa, lax. Padodeibo-ibo, trans. et act. imp. adodeibo-iboa, adodeibo-iboan, inadodeibo-iboan, &c. pas. ipadodeiboibo, &c. Adodeibo-ibo, faintness. Ma adodeiboibo, one who makes faint.",昏倒、虛弱,116
Mogareogeo,"mi, ma, gareogera, flat, and round like the wheels of a coach. Pagareogeo, tran. et act. nom. gareogeo.",如馬車輪子般的扁平圓形,116
Magagidsi,"and magagri, mi, ma, both neutr. from chûmmagids and gûmmagri, ticklish.",兩者 (both),116
Maggaga,"minaggaga, &c. see magga, to throw after. Maggag o bato, to stone.",to throw after,116
Magcha,the eyes,眼睛,116
Magaiech,"mi, ma, agaiecha, neutr. from gummaiech, to delay. Aguiech, lateness, used adverbially. late. Ma agaiech, a delaying, adject.",延誤,116
Magak,"mi, ma, agakka, pass. agakken, &c. to call out, as pallieb. Pagak, trans. intend. magagak, agak, nom.",to call out,117
Magchitagchitat,"mi, ma, unsettled, changeable: mi, ma, agchitagchitatta, is not said of men's will or words, but refers to things that exist now and then, as magchitagchitat moetas, it rains some times.  Agchitagchitat, changeableness.",未決定的、可改變的,117
Magga,"minagga, mamagga, agga, the means in order to an end, yaga, miagga, inojagga, the object or aim; agan, inagan, inoaggan, to throw out of the hand. Maggo taggargar, to cast anchor. Paga, trans. Aga, the throwing of projectiles. Ma aga, one skilful in throwing.",達成目標的手段,117
Maggo-aan,"Maggo-aan, mi, ma, aggo-ana, compounded of magga, to throw, and ann, food; when tow parties, after having promised their children, previous to the marriage, feed each other. Paggo-an, trans. aggo-aan, nomen. subst.",投擲,117
Maggaat,"mi, ma, sharp: agaata, pointed. Maggaat o zinoe, a sharp knife: maggaato raro, a three cornered hat. Maggagaat, intend. from gummaat. Gaat, a point. Ma agaat, any thing pointed.",被指向的,117
Magge,"mi, ma, imp. aggea, tough, sticky, paste made from rice, starch, &c.",堅韌的、黏的,118
Maggogh,"mi, ma, aggocha, to annoy by vexation. Maggogh ja na, azijel o mababat, maggoghja, maggogh ja na babiaro machip. Pagoch, trans. goch, vexation. Ma agoch, vexer. Pagoch, act. agocha, &c. trans. ipagocho, &c.",惹腦,118
Maggos,"mi, ma. agossa, to fish with a sweep net, bu which the fishes are inclosed. Pagos, transi.",用網抓魚,118
Maggotarrar,"mi, ma to bend any thing on the edge or end, as the edge of a napkin, &c. Also to go slanting upwards, as a way. Pagotarrar, trans. et act. imp. agotarrarra, agotarrarran, ipagotarrarra, pas. ipagotarrar, &c.",彎曲某物,118
Magoûlyk,"Magoûlyk, mi, ma, agoulyka, neutr. to sprain the foot, to wrench. Pagoûlyck, act. et trans. a sprain of the foot. The natives cure this by the leaves of a certain tree, called satik, with which they bind up the limb in order to soften the skin, or to disperse the extravasated blood.",扭到腳,118
Magomach,"mi, ma, agomacha, neutr. blotted out. See gûmmach.",消失,118
Magoragh,"mi, ma, agoracha, the skin rubbed off; magoragh ja rima, the skin is off my hand. Magar aggorach, intend.",擦去的皮,119
Mai,"mimai, mamai, imp. moa, to come. the 3rd person has sai, sanai, sasai, trans. only in the 3rd person, pasai, pi, pa: ipasaya. Mai, is he well? interrogatively.",來,119
Mai-acho,"Mai-acho, all those who are related to us, whether male or female; also step father and mother. Seems to be compounded from the verbs Mai, to come, and macho, to bring; because when the daughters marry, they bring their husbands home to dwell.",與我們有關的人 (親戚),119
Maibas,"alike: mi, ma, imp. aubasa, aibas, nom. likeness. Ma aibas, one who makes alike. Paibas act. et trans. imp. aibasa, aibasan, inaibasan, inoaibasan, ipaibasa, ipaibas, &.",相似物,119
Maibat,"minaibat; mamaibat, aibadda, aibaddan, inaibaddan, ino-aibaddon, to work for another for one's board. as the poor do for a meal. Men say also mikat. Paibar, trans. with respect to the person who is served; aibat, nom. service. Maibat, a servant, a labourer. Pas. aibadden, inaibda, inaibadden, inaibad, inoaibadden, with respect to the hire that is obtained.",為另一人工作,119
Majed,"mi, ma, small, fine; but it is only said of many, for with regard to few it is keuzi; also than not thick. As makied. Paied, to make small. Ma-a-ied, or makikied, thin, Pa-i-ied, pakikied, trans.",小的、好的,120
Ma-allas,"Ma-allas, calm, cleared up; is said of wind and weather, also of the feelings. Pa-allas, act. et trans. imp. a-allassa, a-allassen, ina-allassen, ino-a-allassen, ipallassen, ina-allassen, ino-a-allassen, ipallassa. &c. Allas, nom. calmness, clearness. Ma-a-allas, a soother.",冷靜,120
Ma-im-it,"Ma-im-it, makiki, idem. Me-imimit, intend. makilikili, idem. middling, not too much, passable, neither too large nor too small. Is also used as machapor, and machapochapor, and then means moderate in conversation, neigher too still, nor too talkative.",意圖,120
Mairo,"kagmairo, mi, ma, aiman, airoan, airoa, inairoan, ino airoan, to change; as men do the teeth, or bucks the horus. Pairo, trans. nom. airo, a changing. Ma-airo, a changer.",改變,120
Mais,"minais, mamais, assa, aisan, inaisaa, inoaisan, to laugh. Pais, transais, a laugh. Ma-ais, a laugher.",笑,120
Ma-issal,"Ma-issal, mina-issal mama-issal, a-is-salla, to repeat, as children do before their master. Ma-issal o bido, to say out of book. Ma-issal o sies, to say by heart.",重複,121
Maizi,"mi, ma, aizia, near, at hand: people say also maizi, aizi, and arri, neighbourhood. Aizi, paizi, act. and trans. amp. aizia, aizian, inaizi, inoaizian, ipaizia, pas. ipaizi, inoipaize. Maaizi, nom. and ma arzi, one who brings near.",接近,121
Makabol,"mi, ma, akabollan, to be angry, to chide, ace. trans. Pakabol, akabolla, akabollen, pak-bolla, pas. ipakobol, inakobol, inoakobollen, &c. Kobol, anger, wrath. Ma-akabol, angry, wrathful.",生氣,121
Magkagh,"minakagh, mamakagh, akacha, akachen, &c. to bite. Pagach, trans. Agach, a bite. Ma agach, a biter.",咬,121
Megogach,"minagagach, mamagagagh, agagagcha, to itch after, to desire strongly. Magagagagach, intend. magagach. Pagagach, trans. gagach, an itching, a disire. Ma-agagach, one who itches.",癢、強烈渴望,121
Ma-kairi,"Ma-kairi, mi, ma, to do any thing with the left hand; as makairi ja simioch, pattite, &c. Ma annigh, idem. Ma akairi, a left handed man.",使用左手做任何事,121
Ma-kallamas,"Ma-kallamas, mi, ma, to do any thig with the right hand; as makallamas ja simioch, pattite, &c. Ma allamas, do.",使用右手做任何事,122
Makakan,"to be red; mi, ma, akakama, pakakam, trans. et act. imp. akalanna, ipakakanna, kakan, redness. Ma akakan, a red dauber. Pass. akakanna, inakakannan, ipakakan, inikakannan, inipakakan, inokakannan, &c.",是紅色 (動詞),122
Magamgam,"agamgamma, to be covetous. Pass: minagamgam, fut. mamagamgam. Ma agamgam, covetous, a miser. Gamgam, covetousness. Pagamgam, act. trans. imp. agagmgamma, agamgammen, ipagam?amma, pas. ipagamam, inagamgammen,&c.",是貪婪的 (動詞),122
Makammichi,"to be solitary, alone; mi, ma, akammigia. Pakammieg. trans. et act. imp. akammichia, akammichiin, inakammichi, inoakammichi-in, ipakimmichia, pas. ipakimmichi, &c. Kammichi, so itude. Maakammigi, one who is solitary and alone.",是獨立的、孤獨的 (動詞),122
Makammoch,"mi, ma, to be covetous. (as magamgam) akammocha, imp. Pakammoch, act. trans. imp. akammocha, akammochan, ipakammocha, pas. ipakammoch, inakammo inoakammochan, inipakammioch",是貪婪的 (動詞),122
Makapos,"mi, ma, akapossa, close, ped up. Also clownish, incapable of understanding. Makapos atsies: kûmmapos. Pakapos, act. et kapos, a closing up. Makapos thing stopped up.",關閉,123
Makakaossi,"mi, ma, akakossia, disobedient. Pakakossi, pi, pa, kossia, akakossi-in, inakakossi, i?kossia, pas. ipakakossi, inipaka?fut. pass. inoakakossi-in inoipak?si; see act. kummossi, to render one disobedient.",不服從的,123
Makaries,"minakaries, mamakaries?riba, to run; written magarieb. garieb, trans. pas. agarieban, rieb, inoagarieban, a circle in ?men run. Ma-agarieb, a runne?",跑,123
Makapier,"mi, ma, akapiera, nertr. hooked on: kapier, a hook, Mapier, adject. hooked to.",鉤上的,123
Makarrichi,"mi, ma, makarrichi, m?karrichi, akarrichia, to quarrel snarl. Pakarrichi, trans imp. i?richia, pass. ipakarrichi, inipa?chi, inoipakarrichi, pass. aka?ipakarrichi, inoakarrichi-in. Ka? a quarrelling. Ma-akarrichi, angry. Mizy, idem.",大聲咆哮,123
Makinkin,"mi, ma akinkinna, neutr. to ring as little bells; see kûmminkin, nom. kinkin, a little bell.",如小鈴鐺地響,124
Makarro,"mi, ma, akarroa, as mausse-lakko. Pakarro, to be idle, act. akarro, nom. Ma-akarro, a lazy fellow. Pass. akarroan, akarroan o tsinoep aarrien, the work is neglected.",閒暇,124
Makirkir,"mi, ma, akirkirra, neutr. see kûmmirkir, to gnash the teeth. Pakirkir, act et trans. Akirkir, a gnashing of the teeth.",咬牙切齒,124
Makiol,"mi, ma, akiolla, as maggaat. Kiol, nom. pointed. Makiol ja oog pama dol, a pointed bamboo, tapering towards the top. Ma-akiol, any thing pointed. Pakiol, trans. et act. to sharpen to a point imp. akiolla. pakiollen, inakiollen, inoakiollen, ipakiolla, &c.",被指的,124
Makkas,"ma, mi, akkassa, akkassen, inakkas, inoakkassen, to revile any one, to accuse, to reproach. Pakkas, trans. Makkas o ma atattosik, to accuse falsely. Akkas, a reviling. Maakkas, a reviler.",責罵、指控(某人),124
Makkeshap,"proper, just, suitable, sufficient; mi, ma, akkieshappa. Keshap and akkeshap, nom. Ma-akkeshappa, act. et trans. pakkeshap, imp. akkeshappa, akkeshappen, inakkeshappen, inoakkeshappen, ipakeshappa, &c.",合適的、正好的、足夠的,124
Makos,"minakos, mamakos, akossa, akossen, to scratch, to scrape. Pakos, trans. akos, nom. Ma-akos, an extortioner.",括、擦,125
Makorilas,"mi, ma, akorilasa, neutr. the same as meroobroob.",same as meroobroob,125
Maksas,"minakas, mamakas, aksasaa, aksassan &c. to desire. Paksas aksas, desire. Ma-aksas, one who desires.",渴望,125
Makosûm,"Makosûm, to be jet black, mi, ma, akosûmma. Pakosum, paosûm; trans. et act. imp. aosûmma, aosum, inaosûm, ipoasumma, pass. ipaosum, &c. Osum, blackish. Ma-aosum, blackener.",黑的,125
Mallabagh,"minalabagh, mamalabagh, choosing things equally good, not to know which to take, imp. allabagha. Ma allabagh, act. et trans. Pallabagh, pi, pa, allabagha, allabaghen, ina-al-labaghen, inoallabaghen, ipallabacha, ipallabagh, iaipallabagh, inoipallabagh. But Mabag, mi, ma, abagga, abaggen, inabag, not to know what to choose, to be anxious about a choice. Palag, abag, nom. Ma-abag, one who brings another into anxiety.",難以決定要選則哪個,125
Malaag,"mi, ma,alaga, alagen, &c. to catch, to surprise one in sleep, as the natives catch game while asleep, or pierce them with a spear.",抓,126
Malla,"minalla, mamalla, alla-a, alla-an, &c. to adorn one's self. Palla, trans. to adorn another. Al-la, ornament. Ma-alla, an adorner.",裝飾、打扮自己,126
Malachach,"mi, ma, alachacha, loose, not tied tight, the opposite of madidden.  Falachach, act. et trans. intend. malachalachach, imp. alachacha, ipalachacha, a?chachen, inalachachen, inoalachachen, pas. ipalachach, &c. Lachach, looseness. Ma-alachach, one who makes any thing loose.",未綁緊,126
Maladik,"minakadik, mamakadik, aladikka, aladikken, inaladik, inoaladikken, to take care, to protect, to rule over. Aladik, nom. a protection, rule, Ma-aladik, a protector, a ruler. Aladik, aijan, a seat of government.",照顧、保護、管理,126
Malachab,"mi, ma, alachabba, long, slow, intend. Malachalagab. Palachab, act et trans. imp. alachabba, alachabben, inalachabben, inoalachabben, ipalachabba, pas. ipalachab, &c. Lachab, laziness, slowness.",長的、慢的,126
Malachab,"a sluggard. alachûlachab, as mûlachab, intend.",偷懶者,127
Malalpi,"and malalpielpi, mi, ma neutr. glittering, from lumpi, and lumpielpi.",閃閃發光的,127
Malam,"minalam, mamalam; alamma, one who fights with missile weapons, alûnna: inalam, ino-alammen, the place where; alammen; inalâmman, inoalamman. Alam, missile weapons, karri alam, to tight on, and maise alam, a fight. Ma-alam, one who is skillful, with missiles. Alam-an aijan, a tield of battle.",使用投擲物打架的人,127
Malama,"minalama, mamalame, alama, alaman, inalama, ino-alaman, to cook pap. Palama, transi. Lallama, pop. Ma-alama, a pap maker.",煮流質食物,127
Malapan,"to be flat, mi, ma, alapama, palapa, trans. et act. imp. alapanna, alapannen inalapannen, ipalapanna, pas. ipalapan, &c. lepan, nemen. Ma-alapan, one who flattens.",扁的 (動詞),127
Malapitopies,"mi, ma alapitapsa, knended, pressed down; see lûmmapilapies.",被壓低的,127
Malatt?,"Malatt?, a hammer; written malata",鐵鎚,127
Malaûlaûb,"Malaûlaûb, minalaûlaub, mamalaulaub, the sparkling of a flame; hence clear, to burn well. Palaûlaûb, pi, pa, &c. see gûmmaûlaub.",火光的閃爍、清澈的、燃燒旺盛的,127
Malidd,"mi, ma, aliodda, aliodden, inaliod, to blow a whirlwind. Paliod, trans. Aliod, nom, a whirlwind.",吹起旋風,128
Malakkûm,"Malakkûm, minallakkûm, mamallakkûm, allakkûmma, to turn things upside down. Allakkûm, the turning as of a ruler. Ma-allakkûm, one that does that. Pallakkûm, pi, pa, imp. act. et trans all kkumma, ip llakumma, allakkûmman, inallakkûmman, inoallakkûmman, , pas. ipallakkûm, &c. To turn things over and over, but is only said of such things as nature or art has adapted for tunring over.",顛倒物體,128
Malitullito,"mi, ma, alitullitoa, to reel: neutr see lûmmitullito.",搖晃,128
Malleak,"mi, ma, alleakka, as machote, neutr. pas. alleakken. inalleak, inoalleakken, act. trans. ipalleuk, inipalleak, inoipalleak. Palleak, to be averse. Alieak, aversion. Ma-alleak, a person who is loathsome.",對..有反感,128
Mallegallich,"and mallegallegallich, mi, ma, pallegallich, and pailegalligich, as malachach, and makachakechach, pal. chach, and palach lechach.",,128
Malli-alli,"Malli-alli, minalli-alii, mumalli-alli, alli-allia, to thrill, to shake, alli-alli, no subst. Ma-alli-alli, a shaker, Pualli, imp. act. trans. alli-allia, a alli-in, inalli-alli-in, ino-alli-alliin, &c.",震動、搖晃,128
Mallo,"a cup, can, or dish.",杯子；罐頭；盤子,129
Malmal,"mi, ma, almalla, tender, so_
not tough, neutr. also malbo, mi, m_
albea, (contract from malilbe.) Pa_
be, neutr. et trans. albea, ipalbe_e
lilbe, (the i short) nom. softness._
mel, (the e short) nom. softness, ev_
as m_lum_al. Ma-abummal, a softe_
er. Palummal, act. pi, pa, imp. alû_
malla, alûmmallen, malûmmal, &_
Palummal, trans.",溫柔的；柔軟,129
Malod,"minalod, mamalod, alodda, alo_
dan, inaloddan, inoaloddan, to ea_
Palod, tran. alod, nom. Ma-alod, crier.",,129
Maloog,"minaloog, mamaloog, aloogg_
to swarm, to make a stir. See lûmmoo_",群集；引起騷動,129
Mûlokogh,"mi, ma, alokógcha, meag_
Palokogh, trans. et act. imp. aloko_
cha, alokogchen, inalokoch, inoa_
kogchen. ipalokogcha, pas. ipalokoc_
&c. malokolokogh, idem. intend. nom_
lokoch, leanness. Ma-alokoch, m_
alokolokoch, one who makes thin.",瘦,129
Malpo,"light, not heavy. 
mi, ma, ûlpo_
, act. et trans. imp. alpoa, alpooalpoan, ipalpoa, pas. ipalpo, &c.
lightness. Ma-alpo, a lightnen-
_burthen. Alpo, a lightening.",輕的；明亮,129-130
_o,"mi, ma, same as mabadas, by
_ is expressed any joy, or satisfaction
_ver a gift, or any thing found: 
_machsa, abadaasa.",樂趣；滿意,130
_gh,"to be quick, ready. Ama-_
mi, ma. Pamgach, act. trans.
_mgacha, amgachen, inamgach,
_gacha, pas. ipamgach, &c.
Ma-_ quickness, readiness. 
Ma-am-_ one who stirs up another.",快的；準備好的,130
